Timestamp (ms),Temperature (°C)
1919151.0,48.46
1919457.0,48.46
1919763.0,48.45
1920069.0,48.46
1920375.0,48.45
1920681.0,48.45
1920987.0,48.45
1921293.0,48.45
1921599.0,48.45
1921905.0,48.45
1922211.0,48.44
1922517.0,48.44
1922823.0,48.44
1923129.0,48.44
1923435.0,48.45
1923741.0,48.44
1924047.0,48.43
1924353.0,48.45
1924659.0,48.45
1924965.0,48.45
1925271.0,48.44
1925577.0,48.43
1925883.0,48.44
1926189.0,48.44
1926495.0,48.44
1926801.0,48.44
1927107.0,48.44
1927413.0,48.44
1927719.0,48.44
1928025.0,48.44
1928331.0,48.44
1928637.0,48.44
1928943.0,48.43
1929249.0,48.44
1929555.0,48.44
1929861.0,48.43
1930167.0,48.44
1930473.0,48.44
1930779.0,48.44
1931085.0,48.45
1931391.0,48.44
1931697.0,48.45
1932003.0,48.44
1932309.0,48.43
1932615.0,48.45
1932921.0,48.45
1933227.0,48.44
1933533.0,48.45
1933839.0,48.45
1934145.0,48.44
1934451.0,48.45
1934757.0,48.45
1935063.0,48.45
1935369.0,48.46
1935675.0,48.45
1935981.0,48.45
1936287.0,48.45
1936593.0,48.45
1936899.0,48.45
1937205.0,48.45
1937511.0,48.44
1937817.0,48.45
1938123.0,48.45
1938429.0,48.45
1938735.0,48.45
1939041.0,48.45
1939347.0,48.44
1939653.0,48.45
1939959.0,48.45
1940265.0,48.46
1940571.0,48.45
1940877.0,48.45
1941183.0,48.45
1941489.0,48.45
1941795.0,48.46
1942101.0,48.45
1942407.0,48.45
1942713.0,48.46
1943019.0,48.45
1943325.0,48.45
1943631.0,48.45
1943937.0,48.44
1944243.0,48.45
1944549.0,48.45
1944855.0,48.45
1945161.0,48.44
1945467.0,48.45
1945773.0,48.45
1946079.0,48.45
1946385.0,48.45
1946691.0,48.45
1946997.0,48.45
1947303.0,48.46
1947609.0,48.46
1947915.0,48.46
1948221.0,48.46
1948527.0,48.46
1948833.0,48.46
1949139.0,48.46
1949445.0,48.46
1949751.0,48.46
1950057.0,48.45
1950363.0,48.46
1950669.0,48.46
1950975.0,48.46
1951281.0,48.47
1951587.0,48.46
1951893.0,48.46
1952199.0,48.47
1952505.0,48.47
1952811.0,48.47
1953117.0,48.48
1953423.0,48.47
1953729.0,48.48
1954035.0,48.48
1954341.0,48.47
1954647.0,48.47
1954953.0,48.48
1955259.0,48.47
1955565.0,48.48
1955871.0,48.48
1956177.0,48.47
1956483.0,48.47
1956789.0,48.48
1957095.0,48.47
1957401.0,48.47
1957707.0,48.48
1958013.0,48.47
1958319.0,48.47
1958625.0,48.47
1958931.0,48.47
1959237.0,48.46
1959543.0,48.46
1959849.0,48.46
1960155.0,48.46
1960461.0,48.46
1960767.0,48.47
1961073.0,48.46
1961379.0,48.47
1961685.0,48.46
1961991.0,48.45
1962297.0,48.45
1962603.0,48.46
1962909.0,48.45
1963215.0,48.45
1963521.0,48.45
1963827.0,48.44
1964133.0,48.46
1964439.0,48.45
1964745.0,48.45
1965051.0,48.46
1965357.0,48.45
1965663.0,48.44
1965969.0,48.44
1966275.0,48.44
1966581.0,48.43
1966887.0,48.43
1967193.0,48.42
1967499.0,48.42
1967805.0,48.43
1968111.0,48.42
1968417.0,48.43
1968723.0,48.41
1969029.0,48.41
1969335.0,48.41
